"","Descriptor","Mean","SD","Var","ShapiroW","ShapiroP","Skew","Kurt"
"1","AR",1.78875679799668,0.0823105201990364,0.00677502173543598,0.966981056610596,0.480996459969539,-0.0096392695860819,1.97552657629385
"2","FF",0.828338257180665,0.0176348514719189,0.000310987986436639,0.989103970283342,0.98745324178866,0.0520689357092045,3.05020063802861
"3","OA",147.037892337931,30.697016935657,942.306848748011,0.937254863533597,0.08498041704085,0.552405942727377,2.23936152613803
"4","OCD",2.56648275862069,0.312508813668814,0.0976617586206897,0.97800070022012,0.785299689548834,0.290379828385624,3.14373968798803
"5","OCD.OH",0.258136262068966,0.0333925392240078,0.0011150616758269,0.948298955226453,0.165312269814024,0.139896484904602,3.76368340876928
"6","OH",10.0137150475517,1.13652932631808,1.29169890958102,0.938988848414779,0.0943381240210543,0.525412604335902,2.3183969822
"7","OL",17.8751900751724,1.83187429111733,3.35576341845662,0.957445527502683,0.283954160505644,0.304574398324423,2.12127820131586
"8","OP",47.0057976744828,4.96489335201471,24.6501659968799,0.953025833346234,0.219163546253993,0.393176733207825,2.16288550133354
"9","circ",15.1772189969108,0.323195885030594,0.104455580100709,0.988836073306016,0.985732170109614,0.0760894522006075,3.04416421590217
"10","ellip",0.282230174090155,0.0212171715706857,0.000450168369459914,0.966626779525973,0.472226662725778,-0.094799875641515,1.98986841396974
"11","logOA",4.97036628799805,0.203706524296218,0.0414963480408456,0.959386452785656,0.317461099262039,0.268885938469134,2.04195255027759
"12","rect",0.814204393142018,0.0224823689167734,0.000505456912109898,0.84743002251537,0.000673641595969468,-1.81974234477153,7.79583154684459
"13","round",0.580378589790637,0.0232660953545471,0.000541311193046877,0.969802182593329,0.554338209885078,-0.253647171306588,2.23719363455645
