"","CAP1","CAP2","ID2","ID","Lat","TL","Sex","SpeciesExt","mtDNA","Species"
"A407",-0.15538691658983,2.12194115184964,"A407","A407",20.82,58,"M","A.inodorus","AI","A.inodorus"
"A416",0.183098589820818,-1.26380528349383,"A416","A416",20.82,50,"J","A.inodorus","AI","A.inodorus"
"A420",0.343061518239595,1.14789371018465,"A420","A420",20.82,46.5,"J","A.inodorus","AC","A.coronus"
"A422",-0.244175767388633,-0.40524450174104,"A422","A422",20.82,53,"F","A.inodorus","AI","A.inodorus"
"A432",-0.24223567849191,-0.236070668379261,"A432","A432",20.82,42,"F","A.inodorus","AI","A.inodorus"
"A477",-0.268106305584016,0.716367498453128,"A477","A477",20.82,45.3,"J","A.inodorus","AI","A.inodorus"
"A485",0.746777181515806,-0.642302255473994,"A485","A485",20.82,43.2,"J","A.coronus","AC","A.coronus"
"A510",0.10017645471214,-0.400334282788847,"A510","A510",20.82,44.5,"F","A.inodorus","AI","A.inodorus"
"A511",0.55512877944007,-0.046226418936652,"A511","A511",20.82,51.2,"J","A.coronus","AC","A.coronus"
"A515",0.626744695471173,-0.423572964221451,"A515","A515",20.82,55.4,"J","A.coronus","AC","A.coronus"
"A522",-0.242933213664595,-0.828229921079003,"A522","A522",20.82,47.5,"F","A.inodorus","AI","A.inodorus"
"A527",0.0904300156906657,-1.69845165486431,"A527","A527",20.82,72.5,"F","A.inodorus","AI","A.inodorus"
"A532",0.0979846911313835,-1.22516668381581,"A532","A532",20.82,46.5,"M","A.inodorus","AI","A.inodorus"
"A542",0.0159882566717612,-0.215450984271977,"A542","A542",20.82,51.2,"M","A.inodorus","AI","A.inodorus"
"A544",-0.0636899250658098,0.466073372948745,"A544","A544",20.82,40.7,"M","A.inodorus","AI","Hybrid"
"A554",-0.00592196834061573,-1.20931231119258,"A554","A554",18.5,50.5,"F","A.inodorus","AI","A.inodorus"
"A555",-0.647017816455277,2.17530987404462,"A555","A555",18.5,52.5,"F","A.inodorus","AI","A.inodorus"
"A556",-0.25317146349243,0.566377777781739,"A556","A556",18.5,49,"F","A.inodorus","AI","A.inodorus"
"A560",0.558101449993508,-0.898542381192544,"A560","A560",18.5,55.5,"M","A.coronus","AC","A.coronus"
"A562",0.673701234476789,-0.728922946173015,"A562","A562",18.5,44.5,"F","A.coronus","AC","A.inodorus"
"A563",0.347819024861294,0.195034269808152,"A563","A563",18.5,39.5,"F","A.inodorus","AI","A.inodorus"
"A564",0.480435857651946,0.480077125077207,"A564","A564",18.5,76,"F","A.coronus","AC","A.coronus"
"A565",0.531406813166741,0.51743410094394,"A565","A565",18.5,52,"F","A.coronus","AC","A.coronus"
"A568",0.56975921072124,-0.964233917252425,"A568","A568",18.5,44.5,"M","A.coronus","AC","A.coronus"
"A569",0.196521265204962,1.68481678366125,"A569","A569",18.5,56.5,"F","A.coronus","AC","A.coronus"
"A570",-0.09724745784708,1.51352130867699,"A570","A570",18.5,48,"M","A.inodorus","AI","A.inodorus"
"A572",-0.241904828521471,2.30195942234548,"A572","A572",18.5,45.5,"M","A.inodorus","AI","A.inodorus"
"A573",0.164265488031114,-0.352169063697276,"A573","A573",18.5,39,"F","A.inodorus","AI","A.inodorus"
"A574",0.268768643931091,0.340205044981494,"A574","A574",18.5,56,"F","A.inodorus","AI","A.inodorus"
"A575",0.606793868273549,-0.956183066443414,"A575","A575",18.5,56,"F","A.coronus","AC","A.coronus"
"A577",-0.134826489635765,-0.546992031219597,"A577","A577",18.5,50,"F","A.inodorus","AI","A.inodorus"
"A58",0.528392861541357,-1.11039521873713,"A58","A58",18.5,59,"F","A.coronus","AC","A.coronus"
"A581",-0.535484722442438,2.51491925426492,"A581","A581",18.5,45.5,"F","A.inodorus","AI","A.inodorus"
"A583",0.651425221950161,-0.887476987283541,"A583","A583",18.5,50,"M","A.coronus","AC","A.coronus"
"A586",0.10257077550504,0.0491216893394277,"A586","A586",18.5,54.5,"F","A.inodorus","AI","A.inodorus"
"A588",-0.00371494617210279,-1.04461192907968,"A588","A588",18.5,49.5,"F","A.inodorus","AI","Hybrid"
"A59",0.538206042606315,-1.05134904796513,"A59","A59",18.5,55.5,"M","A.coronus","AC","A.coronus"
