"","Descriptor","Mean","SD","ShapiroW","ShapiroP","Skew","Kurt"
"1","AR",1.80445993276986,0.0939928709553422,0.995613562110147,0.880959651719582,0.00223688953743056,2.74194597774069
"2","FF",0.786728585338697,0.0233825913886898,0.993453625572297,0.603908345287148,0.0315099610921969,2.88490409861019
"3","OA",132.3004087005,30.1465799047454,0.942753077333334,1.30618962701762e-06,1.09770951530856,6.53657944692896
"4","OCD",3.83556111111111,0.524578214861367,0.98147300999027,0.0171154737824542,-0.0109698958189049,4.43710604738684
"5","OCD.OH",0.393078748622222,0.0480904031236971,0.98847908611141,0.151474045959556,-0.347054991059955,3.39268158172702
"6","OH",9.81329844035556,1.22053692931842,0.984468576948185,0.043289667867731,0.443106731583537,3.13640401260068
"7","OL",17.6663168856111,2.04750318629864,0.977509708117312,0.00521875230282677,0.474273160995327,4.13730377511214
"8","OP",45.7426103561111,5.4757438886542,0.974464401465291,0.00217492146727151,0.544144499823262,4.28788508371411
"9","circ",15.9869964456283,0.475882327230923,0.992478971701772,0.478405978682602,0.134258893643803,2.8656408066526
"10","ellip",0.286051192423144,0.0239972878230215,0.993845857843135,0.65721597470516,-0.175250514317606,2.8338104441941
"11","logOA",4.86071634373379,0.220122573792431,0.990360188206395,0.266915168621266,0.117792570861439,3.55784404872849
"12","rect",0.755838620080808,0.0256432369401534,0.987600273996291,0.115387659658118,0.0485110055048228,3.55537548667649
"13","round",0.534285121319623,0.024237382431226,0.988749315180314,0.164578515376607,0.290921834892604,3.07452550632453
