ID,Lat,TL,Sex,SpeciesExt,mtDNA,Species
A64,18.5,62,M,A.coronus,AC,A.coronus
A640,18.5,49.5,F,A.inodorus,AI,A.inodorus
A641,18.5,44.5,F,A.inodorus,AI,A.inodorus
A642,18.5,51,F,A.inodorus,AI,A.inodorus
A643,18.5,47,M,A.inodorus,AI,A.inodorus
A66,18.5,49.5,F,A.inodorus,AI,A.inodorus
A67,18.5,61.5,M,A.coronus,AI,A.inodorus
A68,18.5,49.5,M,A.inodorus,AI,A.inodorus
A70,18.5,56,M,A.inodorus,AI,A.inodorus
A71,18.5,66,F,A.coronus,AC,A.coronus
A85,20.82,45.5,F,A.inodorus,AI,A.inodorus
K1,18.5,50,M,A.inodorus,AI,A.inodorus
K101,20.82,51,F,A.inodorus,AI,A.inodorus
K102,20.82,52.5,F,A.inodorus,AI,A.inodorus
K104,20.82,57.8,F,A.inodorus,AI,A.inodorus
K105,20.82,51,F,A.inodorus,AI,A.inodorus
K106,20.82,61.1,M,A.inodorus,AI,A.inodorus
K107,20.82,51,M,A.inodorus,AI,A.inodorus
K108,20.82,43.3,J,A.inodorus,AI,A.inodorus
K109,20.82,50,F,A.coronus,AC,A.coronus
K110,19.99,71.7,F,A.coronus,AC,A.coronus
K111,20.82,58.3,M,A.inodorus,AI,A.inodorus
K112,20.82,43.2,M,A.inodorus,AI,A.inodorus
K116,20.82,55,F,A.inodorus,AI,A.inodorus
K117,20.82,58,M,A.inodorus,AI,A.inodorus
K118,20.82,57,M,A.inodorus,AI,A.inodorus
K119,20.82,53.2,F,A.inodorus,AI,A.inodorus
K12,20.82,68.5,F,A.inodorus,AI,A.inodorus
K13,20.82,62,M,A.inodorus,AI,A.inodorus
K14,20.82,43.5,M,A.inodorus,AI,A.inodorus
K16,20.82,68,M,A.coronus,AC,A.coronus
K17,20.82,51,M,A.inodorus,AI,A.inodorus
K18,20.82,49,F,A.inodorus,AI,A.inodorus
K19,20.82,58.5,F,A.inodorus,AI,A.inodorus
K2,22.66,46,U,A.inodorus,AI,A.inodorus
K20,20.82,47.5,M,A.inodorus,AI,A.inodorus
K21,20.82,71,M,A.coronus,AC,A.coronus
K22,20.82,66.5,F,A.inodorus,AI,A.inodorus
K23,20.82,55,F,A.inodorus,AI,A.inodorus
K24,22.66,44.3,F,A.inodorus,AI,A.inodorus
K25,22.66,40.6,F,A.inodorus,AI,A.inodorus
K26,22.66,52.3,F,A.inodorus,AI,A.inodorus
K27,22.66,39.3,M,A.inodorus,AI,A.inodorus
K28,22.66,40.5,F,A.inodorus,AI,A.inodorus
K29,22.66,40.1,M,A.inodorus,AI,A.inodorus
K3,22.7,42,U,A.inodorus,AI,A.inodorus
K31,,69.5,M,A.inodorus,AI,A.inodorus
K32,,73,M,A.inodorus,AI,A.inodorus
K33,,62.5,F,A.inodorus,AI,A.inodorus
K35,,74,F,A.inodorus,AI,A.inodorus
K36,,75,M,A.inodorus,AI,A.inodorus
K37,22.7,68,M,A.inodorus,AI,A.inodorus
K38,20.82,59,F,A.inodorus,AI,A.inodorus
K39,20.82,51,F,A.inodorus,AI,A.inodorus
K40,20.82,53,F,A.inodorus,AI,A.inodorus
K42,20.82,44.5,F,A.inodorus,AI,A.inodorus
K43,20.82,60.5,M,A.inodorus,AI,A.inodorus
K44,20.82,43.5,F,A.inodorus,AI,A.inodorus
K45,20.82,50,F,A.inodorus,AI,A.inodorus
K46,20.82,50,M,A.inodorus,AI,A.inodorus
K47,20.82,47,F,A.inodorus,AI,A.inodorus
K48,20.82,40,M,A.inodorus,AI,A.inodorus
K49,20.82,53.5,F,A.inodorus,AI,A.inodorus
K5,20.82,42,M,A.inodorus,AI,A.inodorus
K50,20.82,54,F,A.inodorus,AI,A.inodorus
K51,20.82,45.5,M,A.inodorus,AI,A.inodorus
K52,20.82,42.5,F,A.inodorus,AI,A.inodorus
K53,20.82,49,F,A.inodorus,AI,A.inodorus
K54,20.82,53.5,M,A.inodorus,AI,A.inodorus
K55,18.5,51,F,HYBRID?,AI,A.inodorus
K56,20.82,41.6,F,A.inodorus,AI,A.inodorus
K57,20.82,49.9,F,A.inodorus,AI,A.inodorus
K59,20.82,51.2,J,A.coronus,AC,Hybrid
K6,20.82,45,F,A.inodorus,AI,A.inodorus
K60,20.82,45.6,F,A.inodorus,AI,A.inodorus
K61,20.82,51.7,M,A.inodorus,AI,Hybrid
K62,20.82,54,J,A.coronus,AC,A.coronus
K63,20.82,52.4,M,A.inodorus,AI,A.inodorus
K64,20.82,40.5,F,A.inodorus,AI,A.inodorus
K66,20.82,55.2,F,A.inodorus,AI,A.inodorus
K68,,53,U,A.inodorus,AI,A.inodorus
