"circ" "OCD.OH" "round" "ellip" "length" "pop" "ID"
"1" 15.1836614360013 0.566628431767999 0.502436918469587 0.320050871747862 45 "A.inodorus" "A106"
"2" 14.5773084933768 0.428271620106488 0.553198079933761 0.273864615535039 44 "A.inodorus" "A109"
"3" 14.9807228954375 0.533974918060088 0.515444923015184 0.300084859141842 53 "A.inodorus" "A114"
"4" 15.0503945677201 0.437674259321243 0.494875393842042 0.27881488811657 67 "A.inodorus" "A213"
"5" 14.5053747543456 0.499324131197509 0.530651602518708 0.328592149099803 91 "A.inodorus" "A214"
"6" 14.8690128887162 0.44712330295182 0.512763502332497 0.275311649063205 74 "A.inodorus" "A215"
"7" 14.3920449635031 0.531665289305776 0.557702073475903 0.256345632947034 70 "A.inodorus" "A217"
"8" 14.0469897090368 0.44894862695182 0.552617375441907 0.239852018824791 74 "A.inodorus" "A219"
"9" 14.7618911208205 0.424248024321243 0.565446909402115 0.223060198534068 67 "Hybrid" "A220"
"10" 15.0639733217388 0.460925344675199 0.505401290405237 0.30583608039321 63 "A.inodorus" "A224"
"11" 14.4316508930813 0.565501783321243 0.510676019025222 0.30606080434611 67 "A.inodorus" "A227"
"12" 14.7402750848987 0.487865455444977 0.507904842825105 0.316076757099426 43 "A.inodorus" "A230"
"13" 14.1909489729837 0.42697126242951 0.57365952013427 0.244007037163603 46 "A.inodorus" "A231"
"14" 14.7213985707176 0.468060769737065 0.558278310836686 0.264320447955663 51 "A.inodorus" "A238"
"15" 14.9436008186071 0.433764282990487 0.53769070411862 0.253188233559953 66.5 "A.inodorus" "A243"
"16" 14.3342841152915 0.51937988597502 0.550322496795438 0.264950669562951 69.5 "A.inodorus" "A244"
"17" 14.4649029915295 0.478512957305776 0.572521490592173 0.216390464331337 70 "A.inodorus" "A247"
"18" 15.1109191524914 0.541878772044621 0.495294145631626 0.313534804700657 56 "A.inodorus" "A250"
"19" 15.2914353742044 0.512251652075554 0.498714115826918 0.281985649124751 50 "A.inodorus" "A253"
"20" 14.8460628888026 0.527012969675199 0.510961761681573 0.310951140790073 63 "A.inodorus" "A254"
"21" 14.442493850226 0.442203612791199 0.543292799581419 0.262102250800579 40.5 "A.inodorus" "A259"
"22" 14.6888746058206 0.499288203067821 0.519913918981233 0.27970702930238 51.5 "A.inodorus" "A262"
"23" 14.5767274605773 0.465828948390843 0.531677837881116 0.273894608016667 53.5 "A.inodorus" "A264"
"24" 14.6353580887829 0.46303199445271 0.518206814167192 0.3080426655207 41.5 "A.inodorus" "A265"
"25" 14.903768974901 0.486388622998221 0.52111118004059 0.284282690648528 65 "A.inodorus" "A267"
"26" 14.5750171492819 0.457131330775732 0.549144157611185 0.265235048054153 43.5 "A.inodorus" "A269"
"27" 14.5196284712684 0.488969453114221 0.530904566209877 0.303842329538732 42.5 "A.inodorus" "A270"
"28" 14.519081510228 0.525996214091021 0.516480696683535 0.312170366990831 47 "A.inodorus" "A274"
"29" 14.8105245922045 0.451065032352176 0.527899457878221 0.291088990517972 61 "A.inodorus" "A275"
"30" 14.6432031960429 0.541823355367643 0.505285703119539 0.314273885198694 58 "A.inodorus" "A276"
"31" 14.6805187355496 0.511551201075554 0.508450122885053 0.308232482727571 50 "A.inodorus" "A277"
"32" 14.7562874946533 0.500561460767999 0.518643785032207 0.302391720726141 45 "A.inodorus" "A278"
"33" 14.8187177724075 0.480144544421777 0.541655091579283 0.28205866550986 47.5 "A.inodorus" "A288"
"34" 15.0147769895042 0.48506706495182 0.510220139444394 0.270429809569882 74 "A.inodorus" "A297"
"35" 14.2418032274163 0.531833863460443 0.531198689580599 0.287654506413521 40 "A.inodorus" "A298"
"36" 14.4558291162119 0.45654652542951 0.546159800684885 0.266923998409293 46 "A.inodorus" "A350"
"37" 14.7499039990248 0.44487421238311 0.532692870141047 0.285858327568922 55 "A.inodorus" "A351"
"38" 14.9115392134447 0.573000425367643 0.523795443456169 0.305953625869755 58 "A.inodorus" "A352"
"39" 14.8337124497985 0.42277879935991 0.554224231971731 0.249092715689954 59.5 "A.inodorus" "A354"
"40" 14.3464450382138 0.454048428029154 0.546952175282159 0.264012318968107 59 "A.inodorus" "A355"
"41" 14.0783559720146 0.339288132752532 0.56665060325253 0.292496901456978 48 "A.coronus" "A357"
"42" 14.666225844985 0.463333435390843 0.562755236124894 0.259016577962111 53.5 "A.inodorus" "A359"
"43" 15.210889400081 0.444569238398577 0.516172181106367 0.283315039745406 52 "A.inodorus" "A362"
"44" 14.3354861130858 0.382355791752532 0.554128510931361 0.269614641546009 48 "A.inodorus" "A363"
"45" 14.3434376161039 0.425369031721599 0.586666817835727 0.220919909786451 54 "A.inodorus" "A365"
"46" 14.4634393093917 0.516204601437243 0.518732790038723 0.324939627870403 44.5 "A.inodorus" "A366"
"47" 14.9621236836097 0.477803204767999 0.506332743738492 0.312354614926435 45 "A.inodorus" "A367"
"48" 14.4761121113464 0.474828977075554 0.555286315516255 0.250937866499587 50 "A.inodorus" "A368"
"49" 14.4958940102634 0.462676674398577 0.546854012030813 0.252382166810341 52 "A.inodorus" "A369"
"50" 14.6568466555305 0.423281162737065 0.560894172003872 0.247296482860005 51 "A.coronus" "A370"
"51" 15.1338761592365 0.459008083075554 0.520879940331698 0.261076377223948 50 "A.inodorus" "A371"
"52" 14.4151112078033 0.461360094752532 0.55245771550301 0.258496465211179 48 "A.inodorus" "A372"
"53" 14.472643964147 0.443955717060088 0.538832280293123 0.29519026020371 53 "A.inodorus" "A373"
