ID,Species,TL,OCD,OCD.OH,OA,OL,OH,OP
K81,Hybrid,68,4.472,0.381438927,176.1862901,20.20308249,11.72458143,54.27582361
K82,A.inodorus,60,4.144,0.352758796,169.9419118,20.5346057,11.7473704,53.75324081
K83,A.inodorus,37.9,4.022,0.496007028,96.97296286,15.58507595,8.108447733,39.14893651
K84,A.inodorus,56.7,3.949,0.374214377,142.9970728,18.34100589,10.55213019,48.96021811
K88,A.inodorus,55,3.395,0.336599699,142.6222566,18.21703754,10.08586762,47.30253801
K89,A.coronus,53.4,2.318,0.24839807,127.4137842,16.13324981,9.331842887,43.30449083
K9,A.inodorus,48.5,4.535,0.458173467,135.9543766,18.26046465,9.89838302,46.67803578
K90,A.inodorus,53,4.206,0.407120478,143.1956407,18.61716242,10.33226452,48.01046513
K92,Hybrid,60.1,4.596,0.435309026,159.8864145,19.72864682,10.55904377,51.13089079
K93,A.inodorus,49.7,4.031,0.434356077,126.2353338,17.57461534,9.280932455,45.0254711
K95,A.inodorus,34.2,2.951,0.406947543,76.33230123,13.31237227,7.25114414,33.84251024
K96,A.inodorus,55,4.17,0.392998458,143.0993497,18.46284638,10.60986052,47.75712634
K97,A.inodorus,50.9,3.703,0.381136505,129.2603284,17.53826844,9.71547852,45.13653983
