"","ID","length","circ","FF","OCD.OH","round","ellip","AR"
"1","A106",45,15.1836614360013,0.825681631034135,0.566628431767999,0.502436918469587,0.320050871747862,1.94139652056199
"2","A109",44,14.5773084933768,0.855551212340577,0.428271620106488,0.553198079933761,0.273864615535039,1.75430731346836
"3","A114",53,14.9807228954375,0.835625112675782,0.533974918060088,0.515444923015184,0.300084859141842,1.85748926298097
"4","A213",67,15.0503945677201,0.833386021254972,0.437674259321243,0.494875393842042,0.27881488811657,1.77321310027719
"5","A214",91,14.5053747543456,0.860306535393631,0.499324131197509,0.530651602518708,0.328592149099803,1.97881533157302
"6","A215",74,14.8690128887162,0.842246480017352,0.44712330295182,0.512763502332497,0.275311649063205,1.75980702244575
"7","A217",70,14.3920449635031,0.864299427332283,0.531665289305776,0.557702073475903,0.256345632947034,1.6894214417456
"8","A219",74,14.0469897090368,0.881245479905826,0.44894862695182,0.552617375441907,0.239852018824791,1.63106664692834
"9","A220",67,14.7618911208205,0.84661378390529,0.424248024321243,0.565446909402115,0.223060198534068,1.57420201182433
"10","A224",63,15.0639733217388,0.832400817820512,0.460925344675199,0.505401290405237,0.30583608039321,1.88116386275579
"11","A227",67,14.4316508930813,0.86233773455096,0.565501783321243,0.510676019025222,0.30606080434611,1.88209689339629
"12","A230",43,14.7402750848987,0.847317276588851,0.487865455444977,0.507904842825105,0.316076757099426,1.9243047677658
"13","A231",46,14.1909489729837,0.875619278122738,0.42697126242951,0.57365952013427,0.244007037163603,1.6455272711749
"14","A238",51,14.7213985707176,0.84811208742823,0.468060769737065,0.558278310836686,0.264320447955663,1.71857494807667
"15","A243",66.5,14.9436008186071,0.838187314579198,0.433764282990487,0.53769070411862,0.253188233559953,1.67805100277642
"16","A244",69.5,14.3342841152915,0.867100845814841,0.51937988597502,0.550322496795438,0.264950669562951,1.72090581840382
"17","A247",70,14.4649029915295,0.86079005490559,0.478512957305776,0.572521490592173,0.216390464331337,1.55229155461129
"18","A250",56,15.1109191524914,0.829699256227713,0.541878772044621,0.495294145631626,0.313534804700657,1.913476187424
"19","A253",50,15.2914353742044,0.820941337369494,0.512251652075554,0.498714115826918,0.281985649124751,1.78545964654053
"20","A254",63,14.8460628888026,0.842451754126901,0.527012969675199,0.510961761681573,0.310951140790073,1.9025517904394
"21","A259",40.5,14.442493850226,0.862809559896538,0.442203612791199,0.543292799581419,0.262102250800579,1.71040262986286
"22","A262",51.5,14.6888746058206,0.849712197742483,0.499288203067821,0.519913918981233,0.27970702930238,1.77664794932395
