"CAP1" "CAP2" "ID2" "ID" "Lat" "TL" "Sex" "SpeciesExt" "mtDNA" "Species"
"A372" 0.166254905752698 0.344417031869741 "A372" "A372" 20.82 48 "F" "A.inodorus" "AI" "A.inodorus"
"A373" -0.0103057117048379 -0.611914365486141 "A373" "A373" 20.82 53 "M" "A.inodorus" "AI" "A.inodorus"
"A392" 0.0510577753876478 0.607239369768514 "A392" "A392" 20.82 47 "F" "A.inodorus" "AI" "A.inodorus"
"A401" -0.298902866376813 -0.522805351837103 "A401" "A401" 20.82 60 "M" "A.coronus" "AI" "A.inodorus"
"A405" 0.117762659372635 -1.40944249424424 "A405" "A405" 20.82 58 "F" "A.inodorus" "AI" "A.inodorus"
"A407" -0.205283535873088 2.07011371117271 "A407" "A407" 20.82 58 "M" "A.inodorus" "AI" "A.inodorus"
"A416" 0.210974074560111 -1.22139731412425 "A416" "A416" 20.82 50 "J" "A.inodorus" "AI" "A.inodorus"
"A420" 0.412127464912749 1.08793185839754 "A420" "A420" 20.82 46.5 "J" "A.inodorus" "AC" "A.coronus"
"A422" -0.261359319250028 -0.479469032077488 "A422" "A422" 20.82 53 "F" "A.inodorus" "AI" "A.inodorus"
"A432" -0.179686826649982 -0.193863859395397 "A432" "A432" 20.82 42 "F" "A.inodorus" "AI" "A.inodorus"
"A477" -0.230638180189458 0.719726696914172 "A477" "A477" 20.82 45.3 "J" "A.inodorus" "AI" "A.inodorus"
"A485" 0.860043835511015 -0.547656567037234 "A485" "A485" 20.82 43.2 "J" "A.coronus" "AC" "A.coronus"
"A510" 0.161210916655421 -0.254907351425921 "A510" "A510" 20.82 44.5 "F" "A.inodorus" "AI" "A.inodorus"
"A511" 0.599289169941747 -0.0522595624278012 "A511" "A511" 20.82 51.2 "J" "A.coronus" "AC" "A.coronus"
"A515" 0.64366628380541 -0.440751409485342 "A515" "A515" 20.82 55.4 "J" "A.coronus" "AC" "A.coronus"
"A522" -0.221109680668534 -0.824470637407745 "A522" "A522" 20.82 47.5 "F" "A.inodorus" "AI" "A.inodorus"
"A527" -0.0533527412689802 -1.81390638568298 "A527" "A527" 20.82 72.5 "F" "A.inodorus" "AI" "A.inodorus"
"A532" 0.148896616359822 -1.22734573923987 "A532" "A532" 20.82 46.5 "M" "A.inodorus" "AI" "A.inodorus"
"A542" 0.0263055057294469 -0.220581731142717 "A542" "A542" 20.82 51.2 "M" "A.inodorus" "AI" "A.inodorus"
"A544" 0.0186239198973228 0.549239689105508 "A544" "A544" 20.82 40.7 "M" "A.inodorus" "AI" "Hybrid"
"A554" 0.00785323000988386 -1.20813563465144 "A554" "A554" 18.5 50.5 "F" "A.inodorus" "AI" "A.inodorus"
"A555" -0.679642080460929 1.95980822496677 "A555" "A555" 18.5 52.5 "F" "A.inodorus" "AI" "A.inodorus"
"A556" -0.239409069242415 0.472493727450957 "A556" "A556" 18.5 49 "F" "A.inodorus" "AI" "A.inodorus"
"A560" 0.565901890586787 -0.810223260082168 "A560" "A560" 18.5 55.5 "M" "A.coronus" "AC" "A.coronus"
"A562" 0.772219157768116 -0.62801794454082 "A562" "A562" 18.5 44.5 "F" "A.coronus" "AC" "A.inodorus"
"A563" 0.460546513828236 0.397278599436035 "A563" "A563" 18.5 39.5 "F" "A.inodorus" "AI" "A.inodorus"
"A564" 0.333400084724366 0.407104124818577 "A564" "A564" 18.5 76 "F" "A.coronus" "AC" "A.coronus"
"A565" 0.570422104650836 0.449993955566209 "A565" "A565" 18.5 52 "F" "A.coronus" "AC" "A.coronus"
"A568" 0.661809623413847 -0.866191799888344 "A568" "A568" 18.5 44.5 "M" "A.coronus" "AC" "A.coronus"
"A569" 0.180076712622382 1.63046484130821 "A569" "A569" 18.5 56.5 "F" "A.coronus" "AC" "A.coronus"
"A570" -0.0687391482055929 1.49770285594872 "A570" "A570" 18.5 48 "M" "A.inodorus" "AI" "A.inodorus"
"A572" -0.201476428574204 2.240670138439 "A572" "A572" 18.5 45.5 "M" "A.inodorus" "AI" "A.inodorus"
"A573" 0.269318285184695 -0.154150816497376 "A573" "A573" 18.5 39 "F" "A.inodorus" "AI" "A.inodorus"
"A574" 0.256173739888941 0.396418746372557 "A574" "A574" 18.5 56 "F" "A.inodorus" "AI" "A.inodorus"
"A575" 0.622039329003828 -1.08873678546232 "A575" "A575" 18.5 56 "F" "A.coronus" "AC" "A.coronus"
"A577" -0.124654309334155 -0.55851896319908 "A577" "A577" 18.5 50 "F" "A.inodorus" "AI" "A.inodorus"
"A58" 0.510923785118586 -1.11189584236267 "A58" "A58" 18.5 59 "F" "A.coronus" "AC" "A.coronus"
"A581" -0.517942625261766 2.57608091369986 "A581" "A581" 18.5 45.5 "F" "A.inodorus" "AI" "A.inodorus"
"A583" 0.707245655848045 -0.805135816467806 "A583" "A583" 18.5 50 "M" "A.coronus" "AC" "A.coronus"
"A586" 0.0883644310542654 0.174191173144213 "A586" "A586" 18.5 54.5 "F" "A.inodorus" "AI" "A.inodorus"
"A588" 0.0179814163996629 -1.04639536226378 "A588" "A588" 18.5 49.5 "F" "A.inodorus" "AI" "Hybrid"
"A59" 0.547768185112174 -1.04492536221214 "A59" "A59" 18.5 55.5 "M" "A.coronus" "AC" "A.coronus"
"A590" 0.162558744216318 -0.584295074027336 "A590" "A590" 20.82 41.5 "F" "A.inodorus" "AI" "A.inodorus"
"A595" 0.228849312349232 -0.901577332457685 "A595" "A595" 20.82 45 "F" "A.inodorus" "AI" "A.inodorus"
"A60" -0.0394488693462392 -1.49184386593358 "A60" "A60" 18.5 54 "M" "A.coronus" "AI" "A.inodorus"
"A601" -0.502031404371141 0.922652948396169 "A601" "A601" 20.82 41.5 "F" "A.inodorus" "AI" "A.inodorus"
"A604" 0.437738395151065 0.254615216536691 "A604" "A604" 20.82 43.5 "M" "A.inodorus" "AI" "A.inodorus"
"A605" -0.401336352449119 0.399803607161939 "A605" "A605" 20.82 47.5 "F" "A.inodorus" "AI" "A.inodorus"
"A608" 0.0874563551172203 -1.00741713450324 "A608" "A608" 20.82 65.5 "F" "A.inodorus" "AI" "A.inodorus"
"A61" -0.0571342156001705 -1.49691784878659 "A61" "A61" 18.5 47 "F" "A.inodorus" "AI" "A.inodorus"
"A611" -0.0304377317172047 0.671371256531292 "A611" "A611" 20.82 45.5 "F" "A.inodorus" "AI" "A.inodorus"
"A613" 0.114399247499978 -0.459050944861089 "A613" "A613" 20.82 44.5 "F" "A.inodorus" "AI" "Hybrid"
"A615" 0.118694442761367 -0.134975490743604 "A615" "A615" 20.82 38 "F" "A.inodorus" "AI" "A.inodorus"
"A62" -0.389281310450736 0.97560527385746 "A62" "A62" 18.5 42.5 "F" "A.inodorus" "AI" "A.inodorus"
"A624" 0.214651189172392 -0.675160495289158 "A624" "A624" 20.82 44 "M" "A.inodorus" "AI" "A.inodorus"
"A63" 0.673343500060382 -0.0857095132539181 "A63" "A63" 18.5 44 "M" "A.coronus" "AC" "A.coronus"
"A632" -0.0371375142418811 -0.711535631025792 "A632" "A632" 20.82 41 "M" "A.inodorus" "AI" "A.inodorus"
"A634" 0.557855464607493 0.506782524437114 "A634" "A634" 18.5 60 "F" "A.coronus" "AC" "A.coronus"
"A638" 0.594350160308052 0.00284140709191506 "A638" "A638" 18.5 54 "F" "A.coronus" "AC" "A.coronus"
"A639" 0.240473664253539 1.3883475281596 "A639" "A639" 18.5 56 "M" "A.coronus" "AC" "A.coronus"
"A64" 0.667559165843768 -1.25125519123856 "A64" "A64" 18.5 62 "M" "A.coronus" "AC" "A.coronus"
"A640" -0.393459281561214 1.58136781988018 "A640" "A640" 18.5 49.5 "F" "A.inodorus" "AI" "A.inodorus"
"A641" -0.00356481316082111 1.70308466832413 "A641" "A641" 18.5 44.5 "F" "A.inodorus" "AI" "A.inodorus"
"A642" -0.129389842753453 -1.11130410079096 "A642" "A642" 18.5 51 "F" "A.inodorus" "AI" "A.inodorus"
"A643" 0.227623554001051 -0.609166088793318 "A643" "A643" 18.5 47 "M" "A.inodorus" "AI" "A.inodorus"
"A66" -0.031768561812742 0.151215404037571 "A66" "A66" 18.5 49.5 "F" "A.inodorus" "AI" "A.inodorus"
"A67" 0.557442438217351 -0.160907812893276 "A67" "A67" 18.5 61.5 "M" "A.coronus" "AI" "A.inodorus"
"A68" -0.19224515749538 -0.713283613934484 "A68" "A68" 18.5 49.5 "M" "A.inodorus" "AI" "A.inodorus"
"A70" -0.470749631288574 -0.474014754578442 "A70" "A70" 18.5 56 "M" "A.inodorus" "AI" "A.inodorus"
"A71" 0.506155683283819 0.513597741397866 "A71" "A71" 18.5 66 "F" "A.coronus" "AC" "A.coronus"
"A85" 0.339811708301444 1.56410327826531 "A85" "A85" 20.82 45.5 "F" "A.inodorus" "AI" "A.inodorus"
"K1" 0.0283154313930454 -1.97176468615006 "K1" "K1" 18.5 50 "M" "A.inodorus" "AI" "A.inodorus"
"K101" -0.138895245107632 -0.943902324328088 "K101" "K101" 20.82 51 "F" "A.inodorus" "AI" "A.inodorus"
"K102" 0.0658041493706232 -0.204984661100976 "K102" "K102" 20.82 52.5 "F" "A.inodorus" "AI" "A.inodorus"
"K104" -0.463832934991955 -0.842543190884278 "K104" "K104" 20.82 57.8 "F" "A.inodorus" "AI" "A.inodorus"
"K105" -0.0455685324118368 -0.468862871726109 "K105" "K105" 20.82 51 "F" "A.inodorus" "AI" "A.inodorus"
